Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
62dcd15a-1d84-404b-ac7f-fb09c2080c6b,"2020-05-01, 10:48:22 PM",CloudTrail,PutInsightSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:310595757411:trail/Udacity_Trail""}]",,us-east-1,,177.148.230.39
2a284204-5c12-4d9d-b5be-acec90301f05,"2020-05-01, 10:47:50 PM",CloudTrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:310595757411:trail/Udacity_Trail""}]",,us-east-1,,177.148.230.39
1fb25f5b-52d4-455f-8adc-08fafe5c03dd,"2020-05-01, 10:41:49 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:310595757411:trail/Udacity_Trail""}]",,us-east-1,,177.148.230.39
4ea4b8ac-ef9b-4693-9f24-ad8d24db4ea1,"2020-05-01, 10:41:49 PM",CloudTrail,PutInsightSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:310595757411:trail/Udacity_Trail""}]",,us-east-1,,177.148.230.39
72a20a81-d9c1-4a35-882c-099e3d0ded07,"2020-05-01, 10:41:49 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,177.148.230.39
97f86275-84d3-4cd4-9f43-15014ee4b188,"2020-05-01, 10:41:49 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:310595757411:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-architect-cloudtrail""}]",,us-east-1,,177.148.230.39
ce4c38f4-d94e-47ce-8a81-09ae4b36f157,"2020-05-01, 10:41:48 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-architect-cloudtrail""}]",,us-east-1,,177.148.230.39
f7ed03cd-4120-40d2-9eaf-1efa427971e0,"2020-05-01, 10:41:48 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-architect-cloudtrail""}]",,us-east-1,,177.148.230.39
11125a6f-9e66-4d92-ba4a-32f903480687,"2020-05-01, 10:41:30 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail""}]",,us-east-1,BucketAlreadyExists,177.148.230.39
55299ad7-0442-4799-97c4-d9cdb0a1529c,"2020-05-01, 10:39:03 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
fbb8ba0b-a84c-4ddb-8917-8aaf67447569,"2020-05-01, 10:38:53 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,177.148.230.39
290f20fe-b0d0-421a-a7eb-b22a2f25d8a3,"2020-05-01, 10:37:20 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,177.148.230.39
2f780041-1fb3-4de7-a166-e1edac0f90ef,"2020-05-01, 10:37:20 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,177.148.230.39
9df0b0e6-205f-490f-9e58-73400b27ba4e,"2020-05-01, 10:37:20 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,177.148.230.39
6355941e-6826-441d-9769-f7cec5fa13b5,"2020-05-01, 10:37:19 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::310595757411:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAUQUHTEVRZUNPNVSP6""}]",,us-east-1,,177.148.230.39
8a2048a6-b585-491d-8150-10e1fa6975ec,"2020-05-01, 10:36:50 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,177.148.230.39
